# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_nostructure_texture_far.bag'
# timestamp tx ty tz qx qy qz qw
1341839845.5812 -2.3070 -2.3296 1.9537 0.9400 0.0560 -0.0009 -0.3365
1341839845.5911 -2.3075 -2.3296 1.9534 0.9399 0.0562 -0.0008 -0.3369
1341839845.6011 -2.3082 -2.3294 1.9533 0.9396 0.0565 -0.0007 -0.3375
1341839845.6111 -2.3086 -2.3293 1.9531 0.9395 0.0571 -0.0001 -0.3376
1341839845.6211 -2.3092 -2.3291 1.9528 0.9395 0.0581 0.0002 -0.3376
1341839845.6311 -2.3098 -2.3289 1.9526 0.9396 0.0593 0.0004 -0.3371
1341839845.6411 -2.3108 -2.3289 1.9522 0.9398 0.0597 0.0005 -0.3364
1341839845.6511 -2.3114 -2.3287 1.9519 0.9398 0.0608 0.0003 -0.3364
1341839845.6618 -2.3118 -2.3285 1.9517 0.9399 0.0624 -0.0002 -0.3356
1341839845.6711 -2.3124 -2.3284 1.9515 0.9402 0.0633 -0.0009 -0.3347
1341839845.6812 -2.3130 -2.3281 1.9512 0.9401 0.0643 -0.0017 -0.3349
1341839845.6911 -2.3135 -2.3279 1.9509 0.9402 0.0652 -0.0022 -0.3344
1341839845.7011 -2.3141 -2.3278 1.9507 0.9403 0.0654 -0.0024 -0.3340
1341839845.7111 -2.3147 -2.3276 1.9505 0.9405 0.0658 -0.0022 -0.3335
1341839845.7211 -2.3151 -2.3274 1.9503 0.9404 0.0662 -0.0020 -0.3335
1341839845.7311 -2.3155 -2.3274 1.9501 0.9404 0.0668 -0.0018 -0.3333
1341839845.7412 -2.3159 -2.3273 1.9500 0.9404 0.0674 -0.0016 -0.3333
1341839845.7511 -2.3165 -2.3272 1.9497 0.9403 0.0678 -0.0016 -0.3334
1341839845.7613 -2.3169 -2.3271 1.9497 0.9402 0.0683 -0.0018 -0.3337
1341839845.7711 -2.3175 -2.3269 1.9495 0.9402 0.0687 -0.0019 -0.3337
1341839845.7811 -2.3179 -2.3266 1.9490 0.9400 0.0691 -0.0027 -0.3340
1341839845.7911 -2.3184 -2.3264 1.9487 0.9404 0.0697 -0.0028 -0.3329
1341839845.8012 -2.3188 -2.3262 1.9484 0.9407 0.0704 -0.0029 -0.3319
1341839845.8111 -2.3192 -2.3261 1.9482 0.9408 0.0713 -0.0029 -0.3314
1341839845.8211 -2.3197 -2.3258 1.9480 0.9409 0.0724 -0.0028 -0.3309
1341839845.8312 -2.3201 -2.3257 1.9479 0.9407 0.0734 -0.0031 -0.3311
1341839845.8412 -2.3205 -2.3255 1.9478 0.9404 0.0739 -0.0031 -0.3318
1341839845.8511 -2.3209 -2.3254 1.9476 0.9402 0.0744 -0.0036 -0.3324
1341839845.8611 -2.3213 -2.3252 1.9475 0.9400 0.0744 -0.0037 -0.3329
1341839845.8711 -2.3216 -2.3250 1.9473 0.9399 0.0740 -0.0040 -0.3333
1341839845.8812 -2.3219 -2.3248 1.9470 0.9398 0.0739 -0.0040 -0.3335
1341839845.8911 -2.3222 -2.3247 1.9467 0.9401 0.0741 -0.0038 -0.3328
1341839845.9012 -2.3224 -2.3246 1.9464 0.9405 0.0743 -0.0035 -0.3316
1341839845.9111 -2.3226 -2.3245 1.9462 0.9410 0.0752 -0.0029 -0.3299
1341839845.9211 -2.3227 -2.3245 1.9459 0.9412 0.0763 -0.0031 -0.3291
1341839845.9311 -2.3230 -2.3244 1.9459 0.9413 0.0772 -0.0032 -0.3286
1341839845.9411 -2.3232 -2.3244 1.9457 0.9410 0.0777 -0.0037 -0.3292
1341839845.9511 -2.3234 -2.3242 1.9456 0.9408 0.0777 -0.0044 -0.3298
1341839845.9611 -2.3234 -2.3242 1.9456 0.9404 0.0771 -0.0051 -0.3312
1341839845.9712 -2.3235 -2.3239 1.9454 0.9401 0.0766 -0.0052 -0.3320
1341839845.9811 -2.3236 -2.3239 1.9453 0.9403 0.0763 -0.0051 -0.3318
1341839845.9911 -2.3237 -2.3238 1.9452 0.9405 0.0761 -0.0044 -0.3311
1341839846.0062 -2.3237 -2.3238 1.9450 0.9408 0.0766 -0.0037 -0.3303
1341839846.0111 -2.3237 -2.3237 1.9448 0.9410 0.0773 -0.0030 -0.3295
1341839846.0212 -2.3236 -2.3237 1.9447 0.9411 0.0782 -0.0024 -0.3289
1341839846.0311 -2.3236 -2.3236 1.9445 0.9412 0.0785 -0.0020 -0.3285
1341839846.0411 -2.3235 -2.3236 1.9444 0.9413 0.0787 -0.0021 -0.3283
1341839846.0511 -2.3235 -2.3235 1.9442 0.9412 0.0789 -0.0025 -0.3284
1341839846.0612 -2.3234 -2.3233 1.9441 0.9410 0.0786 -0.0030 -0.3293
1341839846.0711 -2.3233 -2.3232 1.9440 0.9409 0.0783 -0.0035 -0.3296
1341839846.0813 -2.3232 -2.3230 1.9438 0.9407 0.0783 -0.0039 -0.3300
1341839846.0911 -2.3231 -2.3230 1.9438 0.9408 0.0788 -0.0039 -0.3296
1341839846.1012 -2.3230 -2.3229 1.9436 0.9408 0.0794 -0.0039 -0.3295
1341839846.1111 -2.3228 -2.3228 1.9436 0.9409 0.0798 -0.0039 -0.3291
1341839846.1213 -2.3226 -2.3227 1.9435 0.9410 0.0799 -0.0035 -0.3289
1341839846.1344 -2.3224 -2.3227 1.9435 0.9410 0.0799 -0.0029 -0.3289
1341839846.1412 -2.3223 -2.3226 1.9435 0.9408 0.0799 -0.0024 -0.3294
1341839846.1511 -2.3221 -2.3225 1.9435 0.9407 0.0797 -0.0017 -0.3297
1341839846.1611 -2.3220 -2.3224 1.9435 0.9406 0.0793 -0.0009 -0.3301
