# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_structure_notexture_far.bag'
# timestamp tx ty tz qx qy qz qw
1341836537.8070 -1.2432 1.9219 1.0547 0.4163 0.6811 -0.5140 -0.3139
1341836537.8183 -1.2424 1.9218 1.0546 0.4161 0.6814 -0.5137 -0.3141
1341836537.8269 -1.2416 1.9215 1.0546 0.4160 0.6818 -0.5133 -0.3141
1341836537.8368 -1.2408 1.9213 1.0546 0.4159 0.6818 -0.5131 -0.3146
1341836537.8468 -1.2400 1.9213 1.0548 0.4167 0.6827 -0.5112 -0.3146
1341836537.8568 -1.2394 1.9210 1.0549 0.4165 0.6830 -0.5105 -0.3153
1341836537.8668 -1.2387 1.9207 1.0549 0.4162 0.6831 -0.5099 -0.3164
1341836537.8768 -1.2381 1.9205 1.0550 0.4156 0.6834 -0.5093 -0.3176
1341836537.8868 -1.2375 1.9203 1.0553 0.4153 0.6832 -0.5090 -0.3187
1341836537.8968 -1.2370 1.9201 1.0556 0.4151 0.6827 -0.5093 -0.3197
1341836537.9068 -1.2364 1.9199 1.0559 0.4155 0.6817 -0.5097 -0.3206
1341836537.9168 -1.2358 1.9197 1.0563 0.4164 0.6809 -0.5100 -0.3207
1341836537.9268 -1.2353 1.9195 1.0566 0.4176 0.6802 -0.5100 -0.3205
1341836537.9368 -1.2348 1.9194 1.0570 0.4188 0.6794 -0.5101 -0.3205
1341836537.9468 -1.2344 1.9192 1.0573 0.4200 0.6786 -0.5103 -0.3205
1341836537.9568 -1.2340 1.9191 1.0575 0.4208 0.6778 -0.5106 -0.3207
1341836537.9669 -1.2335 1.9188 1.0578 0.4212 0.6773 -0.5109 -0.3207
1341836537.9769 -1.2329 1.9188 1.0578 0.4218 0.6776 -0.5101 -0.3206
1341836537.9868 -1.2324 1.9188 1.0578 0.4220 0.6777 -0.5092 -0.3214
1341836537.9968 -1.2320 1.9187 1.0577 0.4219 0.6774 -0.5091 -0.3225
1341836538.0077 -1.2317 1.9185 1.0577 0.4218 0.6772 -0.5086 -0.3238
1341836538.0168 -1.2312 1.9184 1.0578 0.4220 0.6773 -0.5075 -0.3250
1341836538.0295 -1.2308 1.9182 1.0578 0.4222 0.6773 -0.5068 -0.3259
1341836538.0368 -1.2302 1.9179 1.0579 0.4222 0.6773 -0.5062 -0.3268
1341836538.0468 -1.2296 1.9176 1.0579 0.4224 0.6773 -0.5058 -0.3271
1341836538.0568 -1.2290 1.9171 1.0579 0.4218 0.6777 -0.5059 -0.3270
1341836538.0668 -1.2285 1.9165 1.0577 0.4208 0.6774 -0.5067 -0.3275
1341836538.0771 -1.2277 1.9160 1.0577 0.4202 0.6781 -0.5068 -0.3269
1341836538.0868 -1.2268 1.9156 1.0577 0.4201 0.6792 -0.5060 -0.3257
1341836538.0971 -1.2263 1.9150 1.0578 0.4194 0.6794 -0.5065 -0.3255
1341836538.1068 -1.2254 1.9147 1.0580 0.4195 0.6802 -0.5057 -0.3249
1341836538.1168 -1.2250 1.9139 1.0575 0.4185 0.6797 -0.5062 -0.3265
1341836538.1269 -1.2241 1.9132 1.0574 0.4182 0.6802 -0.5054 -0.3272
1341836538.1368 -1.2234 1.9125 1.0572 0.4182 0.6802 -0.5047 -0.3282
1341836538.1468 -1.2228 1.9119 1.0572 0.4181 0.6800 -0.5044 -0.3291
1341836538.1568 -1.2222 1.9111 1.0573 0.4175 0.6795 -0.5052 -0.3298
1341836538.1668 -1.2216 1.9106 1.0576 0.4166 0.6796 -0.5053 -0.3306
1341836538.1768 -1.2207 1.9097 1.0574 0.4174 0.6788 -0.5061 -0.3300
1341836538.1877 -1.2198 1.9090 1.0574 0.4177 0.6785 -0.5066 -0.3295
1341836538.1967 -1.2189 1.9081 1.0574 0.4183 0.6778 -0.5072 -0.3292
1341836538.2068 -1.2180 1.9073 1.0574 0.4190 0.6778 -0.5071 -0.3286
1341836538.2168 -1.2171 1.9064 1.0573 0.4195 0.6771 -0.5073 -0.3288
1341836538.2268 -1.2160 1.9054 1.0571 0.4203 0.6774 -0.5066 -0.3282
1341836538.2368 -1.2152 1.9044 1.0571 0.4205 0.6770 -0.5067 -0.3289
1341836538.2471 -1.2141 1.9033 1.0569 0.4199 0.6762 -0.5073 -0.3303
1341836538.2569 -1.2131 1.9021 1.0568 0.4200 0.6758 -0.5074 -0.3308
1341836538.2668 -1.2120 1.9010 1.0567 0.4196 0.6755 -0.5078 -0.3313
1341836538.2768 -1.2110 1.8999 1.0566 0.4197 0.6750 -0.5081 -0.3318
1341836538.2868 -1.2099 1.8988 1.0565 0.4197 0.6745 -0.5085 -0.3322
1341836538.2967 -1.2087 1.8977 1.0566 0.4211 0.6742 -0.5081 -0.3315
1341836538.3068 -1.2072 1.8965 1.0565 0.4223 0.6747 -0.5075 -0.3300
1341836538.3170 -1.2061 1.8953 1.0564 0.4227 0.6744 -0.5076 -0.3299
1341836538.3268 -1.2051 1.8942 1.0565 0.4225 0.6741 -0.5077 -0.3307
1341836538.3367 -1.2039 1.8927 1.0563 0.4234 0.6738 -0.5075 -0.3305
1341836538.3468 -1.2025 1.8911 1.0558 0.4230 0.6723 -0.5093 -0.3312
1341836538.3575 -1.2015 1.8898 1.0557 0.4232 0.6713 -0.5100 -0.3320
1341836538.3668 -1.2002 1.8887 1.0556 0.4238 0.6711 -0.5102 -0.3313
1341836538.3769 -1.1989 1.8871 1.0553 0.4241 0.6698 -0.5110 -0.3322
1341836538.3892 -1.1979 1.8859 1.0552 0.4246 0.6694 -0.5111 -0.3321
1341836538.3968 -1.1967 1.8846 1.0551 0.4256 0.6688 -0.5110 -0.3324
1341836538.4069 -1.1956 1.8836 1.0548 0.4263 0.6694 -0.5101 -0.3316
1341836538.4168 -1.1946 1.8818 1.0549 0.4254 0.6692 -0.5109 -0.3320
1341836538.4268 -1.1934 1.8805 1.0546 0.4266 0.6687 -0.5103 -0.3323
1341836538.4368 -1.1921 1.8794 1.0544 0.4277 0.6700 -0.5089 -0.3305
1341836538.4468 -1.1908 1.8777 1.0541 0.4275 0.6687 -0.5100 -0.3316
1341836538.4624 -1.1897 1.8763 1.0539 0.4279 0.6682 -0.5104 -0.3316
1341836538.4668 -1.1887 1.8749 1.0539 0.4285 0.6681 -0.5103 -0.3312
1341836538.4768 -1.1874 1.8735 1.0536 0.4296 0.6680 -0.5100 -0.3304
1341836538.4868 -1.1865 1.8718 1.0535 0.4293 0.6668 -0.5112 -0.3313
1341836538.4969 -1.1854 1.8706 1.0533 0.4301 0.6675 -0.5102 -0.3305
1341836538.5068 -1.1843 1.8692 1.0531 0.4308 0.6675 -0.5097 -0.3303
1341836538.5169 -1.1830 1.8676 1.0531 0.4318 0.6680 -0.5085 -0.3299
1341836538.5268 -1.1822 1.8657 1.0529 0.4316 0.6666 -0.5093 -0.3316
1341836538.5368 -1.1812 1.8644 1.0528 0.4321 0.6673 -0.5083 -0.3309
1341836538.5468 -1.1801 1.8630 1.0529 0.4326 0.6680 -0.5077 -0.3301
1341836538.5569 -1.1791 1.8613 1.0527 0.4308 0.6673 -0.5092 -0.3313
1341836538.5668 -1.1780 1.8599 1.0528 0.4311 0.6683 -0.5083 -0.3303
1341836538.5768 -1.1771 1.8584 1.0525 0.4301 0.6681 -0.5090 -0.3310
1341836538.5868 -1.1761 1.8570 1.0527 0.4304 0.6686 -0.5086 -0.3303
1341836538.5968 -1.1753 1.8552 1.0529 0.4303 0.6675 -0.5094 -0.3314
1341836538.6068 -1.1746 1.8539 1.0529 0.4307 0.6676 -0.5089 -0.3314
1341836538.6168 -1.1739 1.8521 1.0526 0.4315 0.6660 -0.5098 -0.3323
1341836538.6270 -1.1730 1.8505 1.0524 0.4322 0.6651 -0.5100 -0.3327
1341836538.6368 -1.1722 1.8492 1.0526 0.4333 0.6648 -0.5098 -0.3323
1341836538.6468 -1.1714 1.8478 1.0523 0.4344 0.6649 -0.5091 -0.3316
1341836538.6568 -1.1705 1.8463 1.0523 0.4353 0.6650 -0.5088 -0.3308
1341836538.6668 -1.1697 1.8447 1.0522 0.4358 0.6649 -0.5089 -0.3300
1341836538.6769 -1.1687 1.8434 1.0520 0.4365 0.6650 -0.5083 -0.3299
1341836538.6868 -1.1679 1.8421 1.0520 0.4376 0.6649 -0.5079 -0.3294
1341836538.7009 -1.1673 1.8406 1.0518 0.4383 0.6636 -0.5084 -0.3301
1341836538.7068 -1.1665 1.8391 1.0515 0.4399 0.6629 -0.5082 -0.3296
