Mon Aug  8 20:30:14 CEST 2011
delay[s] error[mm]
-0.10 0.528304
-0.09 0.528300
-0.08 0.528281
-0.07 0.528408
-0.06 0.528409
-0.05 0.528398
-0.04 0.528522
-0.03 0.528532
-0.02 0.528547
-0.01 0.528525
0.00 0.528662
0.01 0.528665
0.02 0.528654
0.03 0.528712
0.04 0.528725
0.05 0.528717
0.06 0.528774
0.07 0.528800
0.08 0.528820
0.09 0.528811
0.1 0.528873
Mon Aug  8 22:19:24 CEST 2011
delay[s] error[m]
-0.10 0.010722
-0.09 0.010014
-0.08 0.009289
-0.07 0.008584
-0.06 0.007916
-0.05 0.007236
-0.04 0.006584
-0.03 0.005997
-0.02 0.005449
-0.01 0.004944
0.00 0.004565
0.01 0.004288
0.02 0.004143
0.03 0.004188
0.04 0.004367
0.05 0.004668
0.06 0.005102
0.07 0.005607
0.08 0.006154
0.09 0.006774
0.1 0.007422
